hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,75.8,80,13.2,0
01:00,76.4,79,1.2,0.1
02:00,77.6,71,16.2,0.1
03:00,77.8,72,13.7,0
04:00,76.4,45,10.1,0
05:00,75.3,47,9.0,0.02
06:00,71.0,51,12.5,0.02
07:00,74.0,92,14.2,0.02
08:00,77.9,91,5.4,0
09:00,70.8,91,16.5,0.1
10:00,71.8,84,8.2,0
11:00,79.9,74,13.6,0.1
12:00,79.4,66,9.7,0
13:00,83.5,89,13.9,0
14:00,83.5,56,15.4,0
15:00,78.8,86,3.9,0
16:00,81.9,87,4.3,0
17:00,80.3,73,16.0,0
18:00,75.1,45,9.0,0
19:00,71.8,86,11.0,0.02
20:00,70.6,74,13.1,0
21:00,76.4,63,15.6,0.02
22:00,77.9,46,12.2,0.02
23:00,73.9,77,15.3,0.02
