hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,77.4,62,1.8,0.02
01:00,75.6,52,7.5,0
02:00,76.7,52,16.4,0
03:00,77.0,77,12.3,0
04:00,70.7,49,14.5,0
05:00,74.2,49,6.3,0
06:00,73.8,57,6.5,0.1
07:00,77.7,51,10.5,0.02
08:00,75.8,72,13.7,0.1
09:00,77.0,58,6.8,0
10:00,72.4,47,4.6,0
11:00,83.5,81,1.8,0
12:00,76.0,50,7.9,0
13:00,76.1,74,4.7,0.1
14:00,76.4,66,1.5,0.02
15:00,80.6,74,2.7,0
16:00,80.7,78,5.7,0
17:00,79.9,72,6.8,0.02
18:00,76.1,62,1.9,0.02
19:00,75.8,70,7.4,0
20:00,71.4,70,17.2,0
21:00,72.7,79,17.3,0.02
22:00,71.5,66,15.1,0
23:00,77.9,66,14.2,0.02
