hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,72.3,89,13.6,0.02
01:00,71.3,76,4.5,0
02:00,74.3,85,16.7,0.02
03:00,70.9,53,8.6,0
04:00,73.0,69,7.9,0
05:00,76.8,80,15.4,0
06:00,73.3,77,16.4,0.1
07:00,75.0,85,15.1,0.1
08:00,76.3,60,13.5,0.02
09:00,71.6,89,15.9,0
10:00,72.5,82,17.7,0.02
11:00,81.3,86,1.2,0.02
12:00,78.9,62,16.9,0
13:00,80.4,79,4.0,0
14:00,78.0,47,7.3,0
15:00,77.6,75,12.6,0
16:00,80.4,46,15.4,0.02
17:00,76.1,79,17.8,0
18:00,76.5,65,4.1,0
19:00,71.2,89,10.9,0
20:00,75.2,78,13.3,0
21:00,73.5,82,15.1,0
22:00,74.9,84,10.3,0.02
23:00,75.7,54,2.0,0.1
