hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,73.2,59,12.9,0.1
01:00,71.9,78,12.9,0
02:00,75.4,64,11.6,0
03:00,70.5,63,2.4,0
04:00,76.8,70,5.9,0
05:00,72.6,91,10.8,0
06:00,71.2,61,3.6,0.1
07:00,71.3,55,4.4,0
08:00,70.8,74,14.6,0
09:00,76.5,79,4.0,0
10:00,71.7,62,14.5,0
11:00,79.3,59,7.7,0.1
12:00,80.2,83,12.3,0.1
13:00,83.8,57,8.6,0.02
14:00,79.6,88,6.1,0
15:00,79.8,51,12.9,0.1
16:00,76.0,59,1.2,0
17:00,82.5,45,7.7,0
18:00,70.8,91,9.8,0
19:00,72.6,48,8.4,0
20:00,73.1,64,7.2,0
21:00,72.1,59,8.8,0
22:00,76.4,50,8.6,0
23:00,71.7,69,7.9,0
