hour,temp_f,humidity_pct,wind_mph,rain_in
00:00,77.7,70,11.4,0
01:00,75.6,52,1.7,0
02:00,75.2,64,17.6,0
03:00,72.5,57,17.4,0.02
04:00,72.4,72,1.9,0
05:00,77.0,64,9.7,0
06:00,70.3,49,13.7,0
07:00,75.0,86,2.9,0
08:00,71.1,65,11.7,0
09:00,77.7,89,15.4,0
10:00,77.2,82,7.5,0
11:00,80.3,79,12.9,0
12:00,80.5,63,14.9,0
13:00,77.5,63,17.3,0
14:00,81.2,83,12.0,0.02
15:00,79.8,45,8.4,0
16:00,81.8,76,8.3,0.02
17:00,76.3,90,7.5,0
18:00,73.5,89,8.9,0
19:00,71.3,70,5.1,0
20:00,77.9,92,11.2,0
21:00,71.2,92,4.4,0
22:00,73.5,81,7.8,0
23:00,71.3,62,7.2,0
